Year,Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
2023,154,Josh Lowe,25,TBR,AL,3.7,135,501,466,71,136,33,2,20,83,32,3,31,124,0.292,0.335,0.5,0.835,128.0,0.37,130.0,233,6,1,0,3,2,9DH8/7,,lowejo01
2024,219,Josh Lowe,26,TBR,AL,0.7,106,387,353,37,85,19,2,10,34,25,1,32,123,241.0,302.0,391.0,693.0,98.0,315.0,93.0,138,2,0,0,2,4,97/HD8,,lowejo01
2019,335,Josh Naylor,22,SDP,NL,0.0,94,279,253,29,63,15,0,8,32,1,1,25,64,0.249,0.315,0.403,0.719,91.0,0.313,91.0,102,4,0,0,1,1,79H/D,,naylojo01
2021,387,Josh Naylor,24,CLE,AL,0.3,69,250,233,28,59,13,0,7,21,1,0,14,45,0.253,0.301,0.399,0.7,91.0,0.313,94.0,93,7,2,0,0,1,93/DH,,naylojo01
2022,156,Josh Naylor,25,CLE,AL,1.8,122,498,449,47,115,28,0,20,79,6,1,38,80,0.256,0.319,0.452,0.771,121.0,0.34,120.0,203,13,6,0,5,4,3D/H9,,naylojo01
2023,158,Josh Naylor,26,CLE,AL,2.5,121,495,452,52,139,31,0,17,97,10,3,33,68,0.308,0.354,0.489,0.842,130.0,0.357,130.0,221,11,3,0,7,9,3D/H9,MVP-22,naylojo01
2024,56,Josh Naylor,27,CLE,AL,1.5,152,633,563,84,137,27,0,31,108,6,2,58,105,243.0,320.0,456.0,776.0,118.0,336.0,117.0,257,17,7,0,4,7,*3D/H,AS,naylojo01
2019,474,Josh Rojas,25,ARI,NL,-0.1,41,157,138,17,30,7,0,2,16,4,2,18,41,0.217,0.312,0.312,0.624,64.0,0.287,65.0,43,3,1,0,0,0,7/9H4,,rojasjo01
2021,121,Josh Rojas,27,ARI,NL,0.8,139,550,484,69,128,32,3,11,44,9,4,58,137,0.264,0.341,0.411,0.752,103.0,0.335,105.0,199,7,0,1,3,1,4697H5,,rojasjo01
2022,141,Josh Rojas,28,ARI,NL,3.1,125,510,443,66,119,25,1,9,56,23,3,55,98,0.269,0.349,0.391,0.739,110.0,0.337,110.0,173,7,2,5,5,2,54/HD,,rojasjo01
2023,279,Josh Rojas,29,2TM,2LG,0.5,105,350,314,47,77,17,0,4,40,12,0,27,81,0.245,0.303,0.338,0.641,78.0,0.296,77.0,106,3,1,2,4,0,45H/D17,,rojasjo01
2024,146,Josh Rojas,30,SEA,AL,2.2,142,476,422,48,95,19,2,8,31,10,4,46,108,225.0,304.0,336.0,641.0,91.0,289.0,92.0,142,6,3,1,2,1,*5H4/713D,,rojasjo01
2022,380,Josh Smith,24,TEX,AL,0.2,73,253,213,23,42,5,0,2,16,4,3,28,50,0.197,0.307,0.249,0.556,61.0,0.259,60.0,53,1,7,2,3,0,57H/6D4,,smithjo11
2023,393,Josh Smith,25,TEX,AL,0.9,90,232,195,29,36,8,1,6,15,1,0,25,55,0.185,0.304,0.328,0.633,76.0,0.293,76.0,64,3,9,2,1,0,657H/D4,,smithjo11
2024,84,Josh Smith,26,TEX,AL,3.2,149,592,523,67,135,30,1,13,62,11,2,46,121,258.0,337.0,394.0,731.0,110.0,329.0,112.0,206,6,18,2,3,1,56DH/749,SS,smithjo11
2021,724,Joshua Palacios,25,TOR,AL,0.0,13,42,35,7,7,0,0,0,4,0,0,3,11,0.2,0.293,0.2,0.493,38.0,0.236,35.0,7,0,2,1,1,0,/978DH,,palacjo01
2022,698,Joshua Palacios,26,WSN,NL,-0.2,29,49,47,8,10,2,0,0,2,1,0,1,15,0.213,0.245,0.255,0.5,45.0,0.228,38.0,12,0,1,0,0,0,H9/7D,,palacjo01
2023,359,Joshua Palacios,27,PIT,NL,-0.2,91,264,247,26,59,9,2,10,40,5,0,12,56,0.239,0.279,0.413,0.692,85.0,0.3,80.0,102,7,2,2,1,0,9H78/D,,palacjo01
2024,485,Joshua Palacios,28,PIT,NL,-0.1,23,78,67,10,15,2,0,2,9,1,0,10,12,224.0,333.0,343.0,677.0,90.0,308.0,90.0,23,1,1,0,0,0,9/78H,,palacjo01
2015,28,José Abreu,28,CHW,AL,3.5,154,668,613,88,178,34,3,30,101,0,0,39,140,0.29,0.347,0.502,0.85,135.0,0.366,135.0,308,16,15,0,1,11,*3D,MVP-21,abreujo02
2016,14,José Abreu,29,CHW,AL,3.1,159,695,624,67,183,32,1,25,100,0,2,47,125,0.293,0.353,0.468,0.82,124.0,0.357,127.0,292,21,15,0,9,7,*3/D,,abreujo02
2017,20,José Abreu,30,CHW,AL,4.9,156,675,621,95,189,43,6,33,102,3,0,35,119,0.304,0.354,0.552,0.906,141.0,0.387,143.0,343,21,15,0,4,6,*3D,MVP-14,abreujo02
2018,120,José Abreu,31,CHW,AL,2.0,128,553,499,68,132,36,1,22,78,2,0,37,109,0.265,0.325,0.473,0.798,117.0,0.34,113.0,236,14,11,0,6,7,*3D/H,ASSS,abreujo02
2019,12,José Abreu,32,CHW,AL,2.5,159,693,634,85,180,38,1,33,123,2,2,36,152,0.284,0.33,0.503,0.834,118.0,0.351,118.0,319,24,13,0,10,4,*3D,ASMVP-19,abreujo02
2021,23,José Abreu,34,CHW,AL,2.9,152,659,566,86,148,30,2,30,117,1,0,61,143,0.261,0.351,0.481,0.831,124.0,0.358,124.0,272,28,22,0,10,3,*3D/5,MVP-14,abreujo02
2022,14,José Abreu,35,CHW,AL,4.3,157,679,601,85,183,40,0,15,75,0,0,62,110,0.304,0.378,0.446,0.824,134.0,0.368,138.0,268,19,12,0,4,2,*3D,MVP-17,abreujo02
2023,81,José Abreu,36,HOU,AL,0.0,141,594,540,62,128,23,1,18,90,0,1,42,130,0.237,0.296,0.383,0.68,87.0,0.303,89.0,207,16,6,0,6,1,*3/D,,abreujo02
2024,433,José Abreu,37,HOU,AL,-1.7,35,120,113,10,14,2,0,2,7,0,0,4,28,124.0,167.0,195.0,361.0,4.0,163.0,-5.0,22,4,2,0,1,0,3/H,,abreujo02
2022,420,José Azocar,26,SDP,NL,0.0,98,216,202,24,52,9,3,0,10,5,6,12,44,0.257,0.298,0.332,0.629,83.0,0.273,81.0,67,6,0,1,1,0,98H7/D,,azocajo01
2023,542,José Azocar,27,SDP,NL,0.1,55,102,91,16,21,6,0,2,9,8,2,4,24,0.231,0.278,0.363,0.641,75.0,0.295,78.0,33,2,2,5,0,0,98H/7D,,azocajo01
2024,481,José Azocar,28,SDP,NL,-0.4,61,79,73,13,16,2,0,0,2,5,1,5,19,219.0,269.0,247.0,516.0,46.0,265.0,56.0,18,1,0,1,0,0,7H8/9D,,azocajo01
2023,346,José Caballero,26,SEA,AL,2.4,104,280,231,37,51,9,1,4,26,26,3,28,66,0.221,0.343,0.32,0.663,92.0,0.323,96.0,74,0,17,0,4,0,4H6/5D7,,cabaljo01
2024,142,José Caballero,27,TBR,AL,1.6,139,483,441,53,100,24,1,9,44,44,16,27,133,227.0,283.0,347.0,630.0,80.0,292.0,83.0,153,6,9,3,3,1,654H/D,,cabaljo01
2021,702,José Devers,21,MIA,NL,-0.2,21,46,41,7,10,3,0,0,5,0,0,3,11,0.244,0.304,0.317,0.621,69.0,0.275,62.0,13,0,1,0,1,0,4/H6,,deverjo01
2024,641,José Devers,24,MIA,NL,0.1,3,4,4,1,1,0,0,0,0,0,0,0,1,250.0,250.0,250.0,500.0,37.0,224.0,26.0,1,0,0,0,0,0,/34H,,deverjo01
2023,619,José Fermín,24,STL,NL,0.1,21,61,51,2,12,1,0,0,4,0,1,6,8,0.235,0.339,0.255,0.594,66.0,0.271,67.0,13,1,2,2,0,0,4/5HD,,fermijo01
2024,482,José Fermín,25,STL,NL,-0.6,45,79,71,7,11,1,1,0,4,2,1,7,11,155.0,241.0,197.0,438.0,25.0,205.0,19.0,14,3,1,0,0,0,HD54/7,,fermijo01
2022,550,José Herrera,25,ARI,NL,-0.3,47,124,111,9,21,2,0,0,5,0,0,9,34,0.189,0.25,0.207,0.457,32.0,0.214,24.0,23,1,0,4,0,0,2/DH,,herrejo04
2023,519,José Herrera,26,ARI,NL,-0.1,41,120,101,15,21,5,0,0,7,1,0,13,30,0.208,0.296,0.257,0.553,53.0,0.26,51.0,26,2,0,5,1,0,2/1H,,herrejo04
2024,439,José Herrera,27,ARI,NL,-0.2,42,114,97,11,22,4,1,1,13,0,0,9,27,227.0,290.0,320.0,609.0,70.0,272.0,64.0,31,1,0,7,1,0,2/H5D,,herrejo04
2022,165,José Miranda,24,MIN,AL,0.9,125,483,444,45,119,25,0,15,66,1,1,28,91,0.268,0.325,0.426,0.751,114.0,0.334,116.0,189,19,10,0,1,0,35D/H,,miranjo01
2023,473,José Miranda,25,MIN,AL,-0.2,40,152,142,12,30,4,0,3,13,0,0,9,24,0.211,0.263,0.303,0.566,55.0,0.261,58.0,43,8,1,0,0,0,5/D3H,,miranjo01
2024,187,José Miranda,26,MIN,AL,1.7,121,429,401,44,114,28,4,9,49,2,2,18,66,284.0,322.0,441.0,763.0,112.0,333.0,112.0,177,13,6,0,4,1,5DH3/6,,miranjo01
2015,290,José Ramírez,22,CLE,AL,1.2,97,355,315,50,69,14,3,6,27,10,4,32,39,0.219,0.291,0.34,0.631,69.0,0.296,71.0,107,5,1,5,2,0,645/H7D,,ramirjo01
2016,81,José Ramírez,23,CLE,AL,4.8,152,618,565,84,176,46,3,11,76,22,7,44,62,0.312,0.363,0.462,0.825,114.0,0.365,117.0,261,10,4,1,4,1,*57/46H,MVP-17,ramirjo01
2017,47,José Ramírez,24,CLE,AL,7.0,152,645,585,107,186,56,6,29,83,17,5,52,69,0.318,0.374,0.583,0.957,145.0,0.405,147.0,341,13,3,0,5,5,54/H,ASMVP-3SS,ramirjo01
2018,13,José Ramírez,25,CLE,AL,7.5,157,698,578,110,156,38,4,39,105,34,6,106,80,0.27,0.387,0.552,0.939,151.0,0.403,149.0,319,2,8,0,6,15,*54/D,ASMVP-3SS,ramirjo01
2019,120,José Ramírez,26,CLE,AL,3.1,129,542,482,68,123,33,3,23,83,24,4,52,74,0.255,0.327,0.479,0.806,106.0,0.348,105.0,231,8,2,0,6,3,*5/DH,,ramirjo01
2021,49,José Ramírez,28,CLE,AL,6.8,152,636,552,111,147,32,5,36,103,27,4,72,87,0.266,0.355,0.538,0.893,142.0,0.378,137.0,297,13,7,0,5,10,*5D/H,ASMVP-6,ramirjo01
2022,12,José Ramírez,29,CLE,AL,6.0,157,685,601,90,168,44,5,29,126,20,7,69,82,0.28,0.355,0.514,0.869,148.0,0.365,140.0,309,5,6,0,9,20,*5D,ASMVP-4SS,ramirjo01
2023,16,José Ramírez,30,CLE,AL,5.1,156,691,611,87,172,36,5,24,80,28,6,73,73,0.282,0.356,0.475,0.831,128.0,0.357,128.0,290,8,1,0,6,22,*5D,ASMVP-10,ramirjo01
2024,21,José Ramírez,31,CLE,AL,6.8,158,682,620,114,173,39,2,39,118,41,7,54,82,279.0,335.0,537.0,872.0,143.0,376.0,140.0,333,9,1,0,6,12,*5D,ASMVP-5SS,ramirjo01
2023,677,José Tena,22,CLE,AL,-0.2,18,34,31,2,7,2,0,0,3,0,0,3,13,0.226,0.294,0.29,0.584,63.0,0.265,65.0,9,0,0,0,0,0,6/H45D,,tenajo01
2024,390,José Tena,23,2TM,2LG,0.2,44,168,161,14,43,5,0,3,15,6,1,7,41,267.0,298.0,354.0,652.0,85.0,290.0,81.0,57,1,0,0,0,0,5/4DH,,tenajo01
2018,174,Juan Soto,19,WSN,NL,3.0,116,494,414,77,121,25,1,22,70,5,2,79,99,0.292,0.406,0.517,0.923,142.0,0.396,143.0,214,9,0,1,0,10,*7/H,ROY-2,sotoju01
2019,35,Juan Soto,20,WSN,NL,5.0,150,659,542,110,153,32,5,34,110,12,1,108,132,0.282,0.401,0.548,0.949,142.0,0.404,145.0,297,11,3,0,6,3,*7,MVP-9,sotoju01
2021,25,Juan Soto,22,WSN,NL,7.1,151,654,502,111,157,20,2,29,95,9,7,145,93,0.313,0.465,0.534,0.999,175.0,0.424,177.0,268,23,2,0,5,23,*9/HD,ASMVP-2SS,sotoju01
2022,23,Juan Soto,23,2TM,NL,5.5,153,664,524,93,127,25,2,27,62,6,2,135,96,0.242,0.401,0.452,0.853,147.0,0.382,152.0,237,12,4,0,0,6,*9/DH,ASSS,sotoju01
2023,11,Juan Soto,24,SDP,NL,5.5,162,708,568,97,156,32,1,35,109,12,5,132,129,0.275,0.41,0.519,0.93,155.0,0.398,159.0,295,18,2,1,5,11,*7/DH,ASMVP-6SS,sotoju01
2024,5,Juan Soto,25,NYY,AL,7.9,157,713,576,128,166,31,4,41,109,7,4,129,119,288.0,419.0,569.0,989.0,178.0,424.0,179.0,328,10,4,0,4,2,*9/7DH,ASMVP-3SS,sotoju01
2022,357,Juan Yepez,24,STL,NL,0.4,76,274,253,27,64,13,0,12,30,0,0,16,61,0.253,0.296,0.447,0.742,109.0,0.331,113.0,113,6,1,0,4,0,7D93/5H,,yepezju01
2023,616,Juan Yepez,25,STL,NL,-0.7,28,65,60,5,11,1,0,2,2,0,1,4,20,0.183,0.246,0.3,0.546,48.0,0.235,43.0,18,0,1,0,0,0,DH/79,,yepezju01
2024,325,Juan Yepez,26,WSN,NL,0.6,62,249,226,32,64,15,0,6,26,2,1,18,42,283.0,335.0,429.0,764.0,116.0,337.0,118.0,97,9,1,1,3,0,3D/H,,yepezju01
2022,101,Julio Rodríguez,21,SEA,AL,6.2,132,560,511,84,145,25,3,28,75,25,7,40,145,0.284,0.345,0.509,0.853,147.0,0.38,151.0,260,7,8,0,1,4,*8/DH,ASMVP-7ROY-1SS,rodriju01
2023,10,Julio Rodríguez,22,SEA,AL,5.3,155,714,654,102,180,37,2,32,103,37,10,47,175,0.275,0.333,0.485,0.818,130.0,0.359,131.0,317,14,11,0,2,6,*8/D,ASMVP-4SS,rodriju01
2024,69,Julio Rodríguez,23,SEA,AL,4.3,143,613,567,76,155,17,0,20,68,24,5,38,156,273.0,325.0,409.0,734.0,116.0,334.0,121.0,232,10,6,0,2,1,*8D/H,,rodriju01
2024,395,Jung Hoo Lee,25,SFG,NL,0.1,37,158,145,15,38,4,0,2,8,2,3,10,13,262.0,310.0,331.0,641.0,86.0,287.0,91.0,48,2,1,0,2,0,8,,leeju01
2023,671,Junior Caminero,19,TBR,AL,0.0,7,36,34,4,8,1,0,1,7,0,0,2,8,0.235,0.278,0.353,0.631,74.0,0.274,70.0,12,2,0,0,0,0,/56D4,,caminju01
2024,384,Junior Caminero,20,TBR,AL,0.7,43,177,165,15,41,9,1,6,18,2,0,11,38,248.0,299.0,424.0,724.0,105.0,315.0,102.0,70,2,1,0,0,2,5/D3H,,caminju01
2016,303,Jurickson Profar,23,TEX,AL,0.4,90,307,272,35,65,6,3,5,20,2,1,30,61,0.239,0.321,0.338,0.66,75.0,0.293,69.0,92,7,3,2,0,0,543H76/D,,profaju01
2017,561,Jurickson Profar,24,TEX,AL,0.0,22,70,58,8,10,2,0,0,5,1,1,9,14,0.172,0.294,0.207,0.501,33.0,0.264,44.0,12,0,1,2,0,0,7/65H34,,profaju01
2018,87,Jurickson Profar,25,TEX,AL,1.7,146,594,524,82,133,35,6,20,77,10,0,54,88,0.254,0.335,0.458,0.793,107.0,0.347,104.0,240,9,12,0,4,1,6534/H7D,,profaju01
2019,134,Jurickson Profar,26,OAK,AL,-0.1,139,518,459,65,100,24,2,20,67,9,1,48,75,0.218,0.301,0.41,0.711,91.0,0.306,88.0,188,12,8,0,3,2,*4H/D73,,profaju01
2021,215,Jurickson Profar,28,SDP,NL,0.0,137,412,353,47,80,17,2,4,33,10,5,49,65,0.227,0.329,0.32,0.649,83.0,0.303,90.0,113,12,6,1,2,1,7H9384,,profaju01
2022,27,Jurickson Profar,29,SDP,NL,3.0,152,658,575,82,140,36,2,15,58,5,1,73,103,0.243,0.331,0.391,0.723,109.0,0.326,112.0,225,12,4,3,3,0,*7/DH,,profaju01
2023,135,Jurickson Profar,30,2TM,NL,-1.3,125,521,459,55,111,27,2,9,46,1,0,50,90,0.242,0.321,0.368,0.689,81.0,0.307,77.0,169,11,6,0,5,0,7DH/394,,profaju01
2024,24,Jurickson Profar,31,SDP,NL,3.6,158,668,564,94,158,29,0,24,85,10,3,76,101,280.0,380.0,459.0,839.0,134.0,369.0,137.0,259,14,18,5,5,4,*7/D3,ASMVP-14SS,profaju01
2024,541,Justin Foscue,25,TEX,AL,-0.7,15,44,42,3,2,1,0,0,1,0,0,2,18,48.0,91.0,71.0,162.0,-52.0,80.0,-65.0,3,0,0,0,0,0,D/4H3,,foscuju01
2015,210,Justin Turner,30,LAD,NL,3.8,126,439,385,55,113,26,1,16,60,5,2,36,71,0.294,0.37,0.491,0.861,139.0,0.379,143.0,189,10,13,1,4,1,5H3/46,,turneju01
2016,77,Justin Turner,31,LAD,NL,5.0,151,622,556,79,153,34,3,27,90,4,1,48,107,0.275,0.339,0.493,0.832,121.0,0.368,127.0,274,16,10,0,8,1,*5H/D3,MVP-9,turneju01
2017,127,Justin Turner,32,LAD,NL,5.6,130,543,457,72,147,32,0,21,71,7,1,59,56,0.322,0.415,0.53,0.945,150.0,0.408,155.0,242,12,19,1,7,5,*5/HD,ASMVP-8,turneju01
2018,229,Justin Turner,33,LAD,NL,4.7,103,426,365,62,114,31,1,14,52,2,1,47,54,0.312,0.406,0.518,0.924,151.0,0.412,162.0,189,10,12,0,2,3,5/HD,MVP-14,turneju01
2019,109,Justin Turner,34,LAD,NL,3.8,135,549,479,80,139,24,0,27,67,2,0,51,88,0.29,0.372,0.509,0.881,130.0,0.382,136.0,244,11,14,0,5,1,*5H/D4,,turneju01
2021,64,Justin Turner,36,LAD,NL,3.5,151,612,533,87,148,22,0,27,87,3,0,61,98,0.278,0.361,0.471,0.832,120.0,0.37,125.0,251,12,12,0,6,0,*5H/D1,AS,turneju01
2022,131,Justin Turner,37,LAD,NL,2.2,128,532,468,61,130,36,0,13,81,3,0,50,89,0.278,0.35,0.438,0.788,120.0,0.346,118.0,205,13,6,0,8,1,5D/H,,turneju01
2023,56,Justin Turner,38,BOS,AL,2.1,146,626,558,86,154,31,0,23,96,4,1,51,110,0.276,0.345,0.455,0.8,114.0,0.35,116.0,254,10,11,0,6,0,D34/5H,,turneju01
2024,108,Justin Turner,39,2TM,AL,1.5,139,539,460,59,119,24,0,11,55,0,2,59,95,259.0,354.0,383.0,737.0,114.0,328.0,116.0,176,16,13,0,7,2,D3H/5,,turneju01
2024,344,Justyn-Henry Malloy,24,DET,AL,-0.4,71,230,202,18,41,7,1,8,21,1,1,23,85,203.0,291.0,366.0,658.0,86.0,289.0,84.0,74,2,3,0,2,0,D7H/9,,malloju02
2024,598,Kameron Misner,26,TBR,AL,-0.3,8,15,15,0,1,0,0,0,0,0,0,0,10,67.0,67.0,67.0,133.0,-61.0,60.0,-79.0,1,0,0,0,0,0,/7H8,,misneka01
2021,230,Ke'Bryan Hayes,24,PIT,NL,2.3,96,396,362,49,93,20,2,6,38,9,1,31,87,0.257,0.316,0.373,0.689,86.0,0.308,83.0,135,11,1,0,2,0,5/H,,hayeske01
2022,100,Ke'Bryan Hayes,25,PIT,NL,4.4,136,560,505,55,123,24,3,7,41,20,5,48,122,0.244,0.314,0.345,0.659,88.0,0.307,91.0,174,12,5,0,2,0,*5/H6D,,hayeske01
2023,131,Ke'Bryan Hayes,26,PIT,NL,4.0,124,525,494,65,134,31,7,15,61,10,6,28,104,0.271,0.309,0.453,0.762,103.0,0.324,101.0,224,11,0,0,3,1,*5/DH,GG,hayeske01
2024,209,Ke'Bryan Hayes,27,PIT,NL,0.8,96,396,365,38,85,9,0,4,25,11,2,23,75,233.0,283.0,290.0,573.0,61.0,267.0,60.0,106,12,4,0,4,1,5/H,,hayeske01
2021,586,Keibert Ruiz,22,2TM,NL,0.5,29,96,88,10,24,3,0,3,15,0,0,6,9,0.273,0.333,0.409,0.742,103.0,0.334,108.0,36,3,2,0,0,0,2/H,,ruizke01
2022,211,Keibert Ruiz,23,WSN,NL,1.5,112,433,394,33,99,22,0,7,36,6,1,30,50,0.251,0.313,0.36,0.673,94.0,0.303,94.0,142,9,6,1,2,0,2H/D,,ruizke01
2023,102,Keibert Ruiz,24,WSN,NL,1.3,136,562,523,55,136,24,0,18,67,1,1,31,58,0.26,0.308,0.409,0.717,98.0,0.314,97.0,214,13,6,0,2,1,*2D/H,,ruizke01
2024,141,Keibert Ruiz,25,WSN,NL,0.6,127,485,459,46,105,21,0,13,57,3,1,16,54,229.0,260.0,359.0,619.0,74.0,270.0,70.0,165,13,5,0,5,0,*2D/H,,ruizke01
2022,565,Kerry Carpenter,24,DET,AL,0.4,31,113,103,16,26,4,1,6,10,0,0,6,32,0.252,0.31,0.485,0.795,125.0,0.343,123.0,50,0,3,0,1,0,7D/9H,,carpeke01
2023,182,Kerry Carpenter,25,DET,AL,1.9,118,459,418,57,116,17,2,20,64,6,0,32,115,0.278,0.34,0.471,0.811,122.0,0.351,118.0,197,5,8,0,1,3,9D7/H,,carpeke01
2024,290,Kerry Carpenter,26,DET,AL,2.2,87,296,264,37,75,16,5,18,57,0,2,22,75,284.0,345.0,587.0,932.0,159.0,386.0,156.0,155,5,4,0,3,1,9DH/7,,carpeke01
2019,273,Keston Hiura,22,MIL,NL,1.9,84,348,314,51,95,23,2,19,49,9,3,25,107,0.303,0.368,0.57,0.938,138.0,0.391,138.0,179,6,8,0,1,1,4/H,,hiurake01
2021,451,Keston Hiura,24,MIL,NL,-0.9,61,197,173,16,29,9,1,4,19,3,0,14,77,0.168,0.256,0.301,0.557,51.0,0.255,45.0,52,6,7,2,1,0,3H/47,,hiurake01
2022,367,Keston Hiura,25,MIL,NL,0.8,80,266,234,34,53,8,1,14,32,5,2,23,111,0.226,0.316,0.449,0.765,113.0,0.347,121.0,105,3,8,0,1,0,3D4/H7,,hiurake01
2024,578,Keston Hiura,27,LAA,AL,-0.6,10,27,27,1,4,0,0,0,1,0,1,0,10,148.0,148.0,148.0,296.0,-15.0,110.0,-33.0,4,0,0,0,0,0,/4DH,,hiurake01
2015,391,Ketel Marte,21,SEA,AL,2.2,57,247,219,25,62,14,3,2,17,8,4,24,43,0.283,0.351,0.402,0.753,112.0,0.347,122.0,88,1,0,2,2,0,6/48H,,marteke01
2016,178,Ketel Marte,22,SEA,AL,0.4,119,466,437,55,113,21,2,1,33,11,5,18,84,0.259,0.287,0.323,0.61,68.0,0.273,64.0,141,10,2,3,6,0,*6/H,,marteke01
2017,367,Ketel Marte,23,ARI,NL,1.4,73,255,223,30,58,11,2,5,18,3,1,29,37,0.26,0.345,0.395,0.74,88.0,0.328,86.0,88,3,1,0,2,3,6/H5,,marteke01
2018,105,Ketel Marte,24,ARI,NL,3.9,153,580,520,68,135,26,12,14,59,6,1,54,79,0.26,0.332,0.437,0.768,102.0,0.345,105.0,227,12,3,1,2,3,*46H,,marteke01
2019,57,Ketel Marte,25,ARI,NL,6.9,144,628,569,97,187,36,9,32,92,10,2,53,86,0.329,0.389,0.592,0.981,149.0,0.413,154.0,337,7,4,0,2,2,846/H,ASMVP-4,marteke01
2021,256,Ketel Marte,27,ARI,NL,1.8,90,374,340,52,108,29,1,14,50,2,0,31,60,0.318,0.377,0.532,0.909,143.0,0.39,143.0,181,8,2,0,1,3,84/H,,marteke01
2022,105,Ketel Marte,28,ARI,NL,1.5,137,558,492,68,118,42,2,12,52,5,1,55,101,0.24,0.321,0.407,0.727,105.0,0.319,102.0,200,12,6,0,5,3,4D/H,,marteke01
2023,41,Ketel Marte,29,ARI,NL,4.9,150,650,569,94,157,26,9,25,82,8,2,71,109,0.276,0.358,0.485,0.844,127.0,0.366,129.0,276,16,5,0,5,2,*4/DH86,,marteke01
2024,87,Ketel Marte,30,ARI,NL,6.8,136,583,504,93,147,23,2,36,95,7,1,65,106,292.0,372.0,560.0,932.0,155.0,396.0,155.0,282,9,5,0,9,7,*4D/H6,ASMVP-3SS,marteke01
2024,611,Kevin Alcántara,21,CHC,NL,-0.2,3,10,10,1,1,0,0,0,0,0,0,0,1,100.0,100.0,100.0,200.0,-43.0,80.0,-69.0,1,0,0,0,0,0,/9,,alcanke01
2015,126,Kevin Kiermaier,25,TBR,AL,7.1,151,535,505,62,133,25,12,10,40,18,5,24,95,0.263,0.298,0.42,0.718,99.0,0.322,100.0,212,7,2,2,2,0,*8H/9,MVP-17GG,kiermke01
2016,224,Kevin Kiermaier,26,TBR,AL,5.5,105,414,366,55,90,20,2,12,37,21,3,40,74,0.246,0.331,0.41,0.741,104.0,0.34,108.0,150,5,7,0,1,1,8/H,GG,kiermke01
2017,232,Kevin Kiermaier,27,TBR,AL,4.8,98,421,380,56,105,15,3,15,39,16,7,31,99,0.276,0.338,0.45,0.788,113.0,0.339,110.0,171,3,5,4,1,2,8/H,,kiermke01
2018,278,Kevin Kiermaier,28,TBR,AL,2.3,88,367,332,44,72,12,9,7,29,10,5,25,91,0.217,0.282,0.37,0.653,80.0,0.291,79.0,123,4,6,2,2,2,8/H,,kiermke01
2019,169,Kevin Kiermaier,29,TBR,AL,2.4,129,480,447,60,102,20,7,14,55,19,5,26,104,0.228,0.278,0.398,0.676,79.0,0.292,75.0,178,8,5,1,1,2,*8/HD,GG,kiermke01
2021,234,Kevin Kiermaier,31,TBR,AL,3.3,122,390,348,54,90,19,7,4,37,9,5,33,99,0.259,0.328,0.388,0.716,102.0,0.313,102.0,135,4,5,0,4,2,*8/HD,,kiermke01
2022,414,Kevin Kiermaier,32,TBR,AL,1.1,63,221,206,28,47,8,0,7,22,6,1,14,61,0.228,0.281,0.369,0.649,88.0,0.299,91.0,76,2,1,0,0,0,8/DH,,kiermke01
2023,226,Kevin Kiermaier,33,TOR,AL,3.9,129,408,370,58,98,21,6,8,36,14,1,29,86,0.265,0.322,0.419,0.741,103.0,0.33,104.0,155,9,4,1,4,0,*8/HD,GG,kiermke01
2024,299,Kevin Kiermaier,34,2TM,2LG,1.0,116,281,259,31,51,9,3,5,26,6,2,12,86,197.0,237.0,313.0,550.0,56.0,253.0,56.0,81,4,2,7,1,0,*8H/9D,,kiermke01
2018,548,Kevin Newman,24,PIT,NL,-1.1,31,97,91,7,19,2,0,0,6,0,1,4,23,0.209,0.247,0.231,0.478,33.0,0.215,23.0,21,2,1,0,1,1,6/4H,,newmake01
2019,124,Kevin Newman,25,PIT,NL,3.0,130,531,493,61,152,20,6,12,64,16,8,28,62,0.308,0.353,0.446,0.8,110.0,0.357,119.0,220,5,7,2,1,2,64H/57,,newmake01
2021,118,Kevin Newman,27,PIT,NL,0.4,148,554,517,50,117,22,3,5,39,6,1,27,41,0.226,0.265,0.309,0.574,55.0,0.257,48.0,160,7,1,6,3,3,*64H,,newmake01
2022,325,Kevin Newman,28,PIT,NL,1.1,78,309,288,31,79,18,2,2,24,8,2,16,48,0.274,0.316,0.372,0.687,95.0,0.311,95.0,107,6,2,2,1,0,46/HD,,newmake01
2023,376,Kevin Newman,29,CIN,NL,-0.4,74,253,225,28,57,16,0,3,28,8,1,17,34,0.253,0.311,0.364,0.675,80.0,0.307,80.0,82,7,4,2,5,0,564H/3D,,newmake01
2024,275,Kevin Newman,30,ARI,NL,2.2,111,311,288,41,80,17,1,3,28,8,1,15,48,278.0,311.0,375.0,686.0,91.0,313.0,92.0,108,7,0,6,2,1,643/H57D,,newmake01
2015,62,Kevin Pillar,26,TOR,AL,5.2,159,628,586,76,163,31,2,12,56,25,4,28,85,0.278,0.314,0.399,0.713,93.0,0.321,90.0,234,9,5,4,5,1,*87/9H,,pillake01
